"id","title","description","availability","condition","price","link","image_link","brand","google_product_category"
"4BefejQv6","Ramo de rosas premium x9 tallos","premium, elegante, regalo especial, aniversario, decoración fina, alta calidad, romántico","in stock","new","28.00 PEN","https://www.woolyimports.com/catalogo/producto.html?id=4BefejQv6","https://dl.dropboxusercontent.com/scl/fi/9d7fuwxmoj0e60z2fs8ne/4BefejQv6.jpg?rlkey=iou29sdwoufd0dts8sjer0413&st=i481ky5z&raw=1","Wooly Imports","Home & Garden > Decor"
"RG-131","Ramo de rosas pasteles x18 tallos","ramo grande, romántico, aniversario, decoración elegante, regalo especial, abundante","in stock","new","13.00 PEN","https://www.woolyimports.com/catalogo/producto.html?id=RG-131","https://dl.dropboxusercontent.com/scl/fi/rupdldpuql567iunrfrf4/RG-131.jpg?rlkey=3c2nh0p9v18r3o7v30bejkwge&st=942gehmo&raw=1","Wooly Imports","Home & Garden > Decor"
"AKT-RG180","Ramo de rosas semipremium x9 tallos","económico, regalo bonito, flores decorativas, detalle floral, elegantecolores, rosa bb, rosado, blanco, azul, celeste, rojo y lila","in stock","new","18.00 PEN","https://www.woolyimports.com/catalogo/producto.html?id=AKT-RG180","https://dl.dropboxusercontent.com/scl/fi/79ulcrp36xfdp7fzqlk98/AKT-RG180.jpg?rlkey=stn5b4i8c7acu3abhg265ipvb&st=llpyor94&raw=1","Wooly Imports","Home & Garden > Decor"
"AKT-RG600","Ramo de tulipanes x9 tallos","minimalista, moderno, elegante, flores decorativas, regalo especial, azul, celesterojo, lila, rosado, azul, amarillo, blanco","in stock","new","8.00 PEN","https://www.woolyimports.com/catalogo/producto.html?id=AKT-RG600","https://dl.dropboxusercontent.com/scl/fi/cc1pwf1jhojfre093y1t9/AKT-RG600-2.jpg?rlkey=qb904aj554c13vl5b1mg3xvwz&st=3h9nm5j9&raw=1","Wooly Imports","Home & Garden > Decor"
"AKT-RG702","Ramo de hortensias grandes x1 vara","Solo azul disponible","in stock","new","5.90 PEN","https://www.woolyimports.com/catalogo/producto.html?id=AKT-RG702","https://dl.dropboxusercontent.com/scl/fi/plof8k1hyys8gr5qrwqb5/AKT-RG702.jpg?rlkey=9sz91ijzcahnfsnylttxd4tz7&st=ywwkm76k&raw=1","Wooly Imports","Home & Garden > Decor"
"AKT-RS102","Ramo de rosa china con margaritas x5 tallos","colorido, moderno, decoración elegante, flores decorativas, regalo bonito","in stock","new","3.50 PEN","https://www.woolyimports.com/catalogo/producto.html?id=AKT-RS102","https://dl.dropboxusercontent.com/scl/fi/fnfghw0pm5bt0mk392ijy/AKT-RS102.jpg?rlkey=4fgquga0071wc2lydy0zos3ul&st=rdpivyct&raw=1","Wooly Imports","Home & Garden > Decor"
"AKT-RS304","Ramo de crisantemos x5 tallos","elegante, colorido, decoración moderna, flores decorativas","in stock","new","3.90 PEN","https://www.woolyimports.com/catalogo/producto.html?id=AKT-RS304","https://dl.dropboxusercontent.com/scl/fi/a2i1n4yy8b9ht1mbujh74/AKT-RS304.jpg?rlkey=62b1x41ohwi0d82vip79yv59g&st=i1satc9e&raw=1","Wooly Imports","Home & Garden > Decor"
"AKT-RS209","Ramo de peonías pequeñas x5 tallos","otoñal, cálido, elegante, flores decorativas, regalo bonito","in stock","new","5.00 PEN","https://www.woolyimports.com/catalogo/producto.html?id=AKT-RS209","https://dl.dropboxusercontent.com/scl/fi/4evwpg5agsxujvo0bp4l8/AKT-RS209.jpg?rlkey=fhrd4g0j75oc1wb0ravn21a5y&st=oprq2bzc&raw=1","Wooly Imports","Home & Garden > Decor"
"AKT-RS106","Ramo de mini hortensias otoñales x5 tallos","delicado, elegante, flores pequeñas, decoración moderna","in stock","new","3.80 PEN","https://www.woolyimports.com/catalogo/producto.html?id=AKT-RS106","https://dl.dropboxusercontent.com/scl/fi/ye57dkhxwjjpnf0p344iw/20260220_141656.jpg?rlkey=lx6civp00rqv0anky4jdgpyqa&st=s88s38ou&raw=1","Wooly Imports","Home & Garden > Decor"
"AKT-RS007","Ramo de eucalipto x16 tallos","flores de relleno, decoración elegante, delicado, decoración floral","in stock","new","12.00 PEN","https://www.woolyimports.com/catalogo/producto.html?id=AKT-RS007","https://dl.dropboxusercontent.com/scl/fi/5yefrs8bwoxor90ggfuku/AKT-RS007.jpg?rlkey=esorq4bh4mxhrjkn7ylcgy4oh&st=ukjdx5nv&raw=1","Wooly Imports","Home & Garden > Decor"
